text,boundaries
First document. Second sentence. New topic starts here. Another sentence.,"[1, 2, 3]"
Different content. More sentences. Another topic change. Final sentence.,"[1, 2]"
Climate is changing. Polar ice caps are melting. Sports fans are excited. The match was thrilling.,[2]
Technology advances every year. AI is part of daily life. Recipes need precision. Cooking is an art.,[2]
History tells us about ancient civilizations. The Romans built great structures. Fitness routines vary. Cardio is essential.,[2]
The startup secured funding. They plan to expand. Wildlife protection is crucial. Many species are endangered.,[2]
Books inspire imagination. Children love fairy tales. Economics explains trade. Supply and demand rule markets.,[2]
Astronomy explores the universe. Telescopes help see far galaxies. Traveling helps understand cultures. Food connects people.,[2]
Programming languages evolve. Python is widely used. Music theory is complex. Chords and scales matter.,[2]
Photography captures moments. Lighting is key. Politics shape society. Elections impact change.,[2]
Mental health is vital. Stress can be managed. Architecture combines function and beauty. Design choices matter.,[2]
